"Date","NewCases","NewDeaths","Country"
2020-03-04,6,0,"Austria"
2020-03-05,5,0,"Austria"
2020-03-06,12,0,"Austria"
2020-03-07,33,0,"Austria"
2020-03-08,25,0,"Austria"
2020-03-09,3,0,"Austria"
2020-03-10,29,0,"Austria"
2020-03-11,51,0,"Austria"
2020-03-12,64,0,"Austria"
2020-03-13,115,1,"Austria"
2020-03-14,143,0,"Austria"
2020-03-15,151,0,"Austria"
2020-03-16,205,0,"Austria"
2020-03-17,156,2,"Austria"
2020-03-18,316,0,"Austria"
2020-03-19,314,1,"Austria"
2020-03-20,550,2,"Austria"
2020-03-21,453,0,"Austria"
2020-03-22,375,2,"Austria"
2020-03-23,607,8,"Austria"
2020-03-24,855,9,"Austria"
2020-03-25,796,5,"Austria"
2020-03-26,606,4,"Austria"
2020-03-27,1141,18,"Austria"
2020-03-28,668,16,"Austria"
2020-03-29,594,0,"Austria"
2020-03-30,522,18,"Austria"
2020-03-31,805,22,"Austria"
2020-04-01,564,20,"Austria"
2020-04-02,529,18,"Austria"
2020-04-03,418,12,"Austria"
2020-04-04,396,10,"Austria"
2020-04-05,241,18,"Austria"
2020-04-06,217,18,"Austria"
2020-04-07,314,16,"Austria"
2020-04-08,343,23,"Austria"
2020-04-09,329,30,"Austria"
2020-04-10,279,22,"Austria"
2020-04-11,312,24,"Austria"
2020-04-12,247,18,"Austria"
2020-04-13,130,13,"Austria"
2020-04-14,106,18,"Austria"
2020-04-15,191,16,"Austria"
2020-04-16,136,9,"Austria"
2020-04-17,78,17,"Austria"
2020-04-18,155,21,"Austria"
2020-04-19,59,12,"Austria"
2020-04-20,48,9,"Austria"
2020-04-21,73,10,"Austria"
2020-04-22,50,1,"Austria"
2020-04-23,91,31,"Austria"
2020-04-24,61,14,"Austria"
2020-04-25,83,5,"Austria"
2020-04-26,66,23,"Austria"
2020-04-27,55,6,"Austria"
2020-04-28,67,7,"Austria"
2020-04-29,58,20,"Austria"
2020-04-30,50,11,"Austria"
2020-05-01,60,4,"Austria"
2020-05-02,34,5,"Austria"
2020-05-03,12,7,"Austria"
2020-05-04,68,2,"Austria"
2020-05-05,31,2,"Austria"
2020-05-06,17,6,"Austria"
2020-05-07,65,2,"Austria"
2020-05-08,22,1,"Austria"
2020-05-09,62,5,"Austria"
2020-05-10,42,1,"Austria"
2020-05-11,10,3,"Austria"
2020-05-12,87,2,"Austria"
2020-05-13,36,3,"Austria"
2020-05-14,54,1,"Austria"
2020-05-15,41,2,"Austria"
2020-05-16,63,2,"Austria"
2020-05-17,72,0,"Austria"
2020-05-18,14,1,"Austria"
2020-05-19,25,0,"Austria"
2020-05-20,78,3,"Austria"
2020-05-21,18,1,"Austria"
2020-05-22,57,0,"Austria"
2020-05-23,29,2,"Austria"
2020-05-24,46,4,"Austria"
2020-05-25,32,1,"Austria"
2020-05-26,20,1,"Austria"
2020-05-27,38,2,"Austria"
2020-05-28,18,2,"Austria"
2020-05-29,28,23,"Austria"
2020-05-30,51,0,"Austria"
2020-05-31,44,0,"Austria"
2020-06-01,4,0,"Austria"
2020-06-02,21,0,"Austria"
2020-06-03,11,1,"Austria"
2020-06-04,31,1,"Austria"
2020-06-05,36,0,"Austria"
2020-06-06,62,2,"Austria"
2020-06-07,19,0,"Austria"
2020-06-08,46,0,"Austria"
2020-06-09,21,0,"Austria"
2020-06-10,13,0,"Austria"
2020-06-11,34,1,"Austria"
2020-06-12,28,1,"Austria"
2020-06-13,30,1,"Austria"
2020-06-14,20,2,"Austria"
2020-06-15,24,0,"Austria"
2020-06-16,27,1,"Austria"
2020-06-17,33,3,"Austria"
2020-06-18,17,6,"Austria"
2020-06-19,40,1,"Austria"
2020-06-20,30,0,"Austria"
2020-06-21,62,0,"Austria"
2020-06-22,38,2,"Austria"
2020-06-23,35,0,"Austria"
2020-06-24,31,3,"Austria"
2020-06-25,33,0,"Austria"
2020-06-26,47,5,"Austria"
2020-06-27,67,0,"Austria"
2020-06-28,64,2,"Austria"
2020-06-29,63,2,"Austria"
2020-06-30,41,1,"Austria"
2020-07-01,111,2,"Austria"
2020-07-02,37,0,"Austria"
2020-07-03,138,0,"Austria"
2020-07-04,121,0,"Austria"
2020-07-05,123,0,"Austria"
2020-07-06,73,1,"Austria"
2020-07-07,57,0,"Austria"
2020-07-08,89,0,"Austria"
2020-07-09,101,0,"Austria"
2020-07-10,97,0,"Austria"
2020-07-11,74,0,"Austria"
2020-07-12,108,0,"Austria"
2020-07-13,52,2,"Austria"
2020-07-14,12,0,"Austria"
2020-07-15,201,1,"Austria"
2020-07-16,55,1,"Austria"
2020-07-17,153,0,"Austria"
2020-07-18,138,0,"Austria"
2020-07-19,102,0,"Austria"
2020-07-20,63,0,"Austria"
2020-07-21,108,0,"Austria"
2020-07-22,139,0,"Austria"
2020-07-23,140,1,"Austria"
2020-07-24,164,0,"Austria"
2020-07-25,107,0,"Austria"
2020-07-26,120,1,"Austria"
2020-07-27,137,0,"Austria"
2020-07-28,64,1,"Austria"
2020-07-29,132,0,"Austria"
2020-07-30,164,3,"Austria"
2020-07-31,163,2,"Austria"
2020-08-01,89,0,"Austria"
2020-08-02,126,0,"Austria"
2020-08-03,85,0,"Austria"
2020-08-04,32,0,"Austria"
2020-08-05,131,1,"Austria"
2020-08-06,103,0,"Austria"
2020-08-07,114,0,"Austria"
2020-08-08,130,1,"Austria"
2020-08-09,116,1,"Austria"
2020-08-10,76,0,"Austria"
2020-08-11,111,2,"Austria"
2020-08-12,138,0,"Austria"
2020-08-13,241,1,"Austria"
2020-08-14,229,1,"Austria"
2020-08-15,221,0,"Austria"
2020-08-16,260,3,"Austria"
2020-08-17,162,0,"Austria"
2020-08-18,344,1,"Austria"
2020-08-19,158,0,"Austria"
2020-08-20,425,0,"Austria"
2020-08-21,308,0,"Austria"
2020-08-22,275,1,"Austria"
2020-08-23,216,2,"Austria"
2020-08-24,140,0,"Austria"
2020-08-25,308,1,"Austria"
2020-08-26,291,0,"Austria"
2020-08-27,316,0,"Austria"
2020-08-28,227,0,"Austria"
2020-08-29,382,0,"Austria"
2020-08-30,174,0,"Austria"
2020-08-31,281,0,"Austria"
2020-09-01,186,0,"Austria"
2020-09-02,337,1,"Austria"
2020-09-03,442,0,"Austria"
2020-09-04,312,1,"Austria"
2020-09-05,271,0,"Austria"
2020-09-06,208,0,"Austria"
2020-09-07,220,1,"Austria"
2020-09-08,511,10,"Austria"
2020-09-09,495,1,"Austria"
2020-09-10,754,0,"Austria"
2020-09-11,497,1,"Austria"
2020-09-12,1005,2,"Austria"
2020-09-13,495,4,"Austria"
2020-09-14,384,2,"Austria"
2020-09-15,549,1,"Austria"
2020-09-16,860,0,"Austria"
2020-09-17,704,1,"Austria"
2020-09-18,922,0,"Austria"
2020-09-19,821,5,"Austria"
2020-09-20,757,2,"Austria"
2020-09-21,609,1,"Austria"
2020-09-22,593,1,"Austria"
2020-09-23,747,4,"Austria"
2020-09-24,661,6,"Austria"
2020-09-25,688,6,"Austria"
2020-09-26,1071,3,"Austria"
2020-09-27,623,1,"Austria"
2020-09-28,526,0,"Austria"
2020-09-29,419,3,"Austria"
2020-09-30,722,6,"Austria"
2020-10-01,1146,3,"Austria"
2020-10-02,564,3,"Austria"
2020-10-03,872,1,"Austria"
2020-10-04,830,6,"Austria"
2020-10-05,599,4,"Austria"
2020-10-06,1268,5,"Austria"
2020-10-07,549,22,"Austria"
2020-10-08,947,4,"Austria"
2020-10-09,1221,9,"Austria"
2020-10-10,1181,4,"Austria"
2020-10-11,901,1,"Austria"
2020-10-12,1298,6,"Austria"
2020-10-13,608,5,"Austria"
2020-10-14,1171,10,"Austria"
2020-10-15,1606,9,"Austria"
2020-10-16,1396,6,"Austria"
2020-10-17,1691,7,"Austria"
2020-10-18,2040,6,"Austria"
2020-10-19,1062,3,"Austria"
2020-10-20,1054,9,"Austria"
2020-10-21,1803,8,"Austria"
2020-10-22,2355,13,"Austria"
2020-10-23,2570,17,"Austria"
2020-10-24,3442,15,"Austria"
2020-10-25,2989,6,"Austria"
2020-10-26,2766,6,"Austria"
2020-10-27,2512,4,"Austria"
2020-10-28,2698,18,"Austria"
2020-10-29,4149,34,"Austria"
2020-10-30,4305,24,"Austria"
2020-10-31,5243,15,"Austria"
2020-11-01,5141,18,"Austria"
2020-11-02,4526,17,"Austria"
2020-11-03,3160,21,"Austria"
2020-11-04,4445,34,"Austria"
2020-11-05,6514,35,"Austria"
2020-11-06,7051,47,"Austria"
2020-11-07,6324,44,"Austria"
2020-11-08,7898,23,"Austria"
2020-11-09,6006,17,"Austria"
2020-11-10,5704,48,"Austria"
2020-11-11,3839,35,"Austria"
2020-11-12,9643,55,"Austria"
2020-11-13,10368,37,"Austria"
2020-11-14,8962,64,"Austria"
2020-11-15,7192,55,"Austria"
2020-11-16,5278,50,"Austria"
2020-11-17,4304,62,"Austria"
2020-11-18,5664,74,"Austria"
2020-11-19,7766,113,"Austria"
2020-11-20,6830,90,"Austria"
2020-11-21,6612,79,"Austria"
2020-11-22,6239,58,"Austria"
2020-11-23,5215,44,"Austria"
2020-11-24,3090,94,"Austria"
2020-11-25,4135,115,"Austria"
2020-11-26,5896,94,"Austria"
2020-11-27,5447,114,"Austria"
2020-11-28,4818,148,"Austria"
2020-11-29,4765,58,"Austria"
2020-11-30,3907,82,"Austria"
2020-12-01,2348,79,"Austria"
2020-12-02,3464,213,"Austria"
2020-12-03,3660,133,"Austria"
2020-12-04,3783,118,"Austria"
2020-12-05,3634,140,"Austria"
2020-12-06,3160,87,"Austria"
2020-12-07,2745,58,"Austria"
2020-12-08,2181,95,"Austria"
2020-12-09,2531,80,"Austria"
2020-12-10,2913,126,"Austria"
2020-12-11,2466,125,"Austria"
2020-12-12,3026,101,"Austria"
2020-12-13,2938,96,"Austria"
2020-12-14,3005,45,"Austria"
2019-12-31,0,0,"Belgium"
2020-01-01,0,0,"Belgium"
2020-01-02,0,0,"Belgium"
2020-01-03,0,0,"Belgium"
2020-01-04,0,0,"Belgium"
2020-01-05,0,0,"Belgium"
2020-01-06,0,0,"Belgium"
2020-01-07,0,0,"Belgium"
2020-01-08,0,0,"Belgium"
2020-01-09,0,0,"Belgium"
2020-01-10,0,0,"Belgium"
2020-01-11,0,0,"Belgium"
2020-01-12,0,0,"Belgium"
2020-01-13,0,0,"Belgium"
2020-01-14,0,0,"Belgium"
2020-01-15,0,0,"Belgium"
2020-01-16,0,0,"Belgium"
2020-01-17,0,0,"Belgium"
2020-01-18,0,0,"Belgium"
2020-01-19,0,0,"Belgium"
2020-01-20,0,0,"Belgium"
2020-01-21,0,0,"Belgium"
2020-01-22,0,0,"Belgium"
2020-01-23,0,0,"Belgium"
2020-01-24,0,0,"Belgium"
2020-01-25,0,0,"Belgium"
2020-01-26,0,0,"Belgium"
2020-01-27,0,0,"Belgium"
2020-01-28,0,0,"Belgium"
2020-01-29,0,0,"Belgium"
2020-01-30,0,0,"Belgium"
2020-01-31,0,0,"Belgium"
2020-02-01,0,0,"Belgium"
2020-02-02,0,0,"Belgium"
2020-02-03,0,0,"Belgium"
2020-02-04,1,0,"Belgium"
2020-02-05,0,0,"Belgium"
2020-02-06,0,0,"Belgium"
2020-02-07,0,0,"Belgium"
2020-02-08,0,0,"Belgium"
2020-02-09,0,0,"Belgium"
2020-02-10,0,0,"Belgium"
2020-02-11,0,0,"Belgium"
2020-02-12,0,0,"Belgium"
2020-02-13,0,0,"Belgium"
2020-02-14,0,0,"Belgium"
2020-02-15,0,0,"Belgium"
2020-02-16,0,0,"Belgium"
2020-02-17,0,0,"Belgium"
2020-02-18,0,0,"Belgium"
2020-02-19,0,0,"Belgium"
2020-02-20,0,0,"Belgium"
2020-02-21,0,0,"Belgium"
2020-02-22,0,0,"Belgium"
2020-02-23,0,0,"Belgium"
2020-02-24,0,0,"Belgium"
2020-02-25,0,0,"Belgium"
2020-02-26,0,0,"Belgium"
2020-02-27,0,0,"Belgium"
2020-02-28,0,0,"Belgium"
2020-02-29,0,0,"Belgium"
2020-03-01,18,0,"Belgium"
2020-03-02,0,0,"Belgium"
2020-03-03,19,0,"Belgium"
2020-03-04,34,0,"Belgium"
2020-03-05,53,0,"Belgium"
2020-03-06,81,0,"Belgium"
2020-03-07,110,0,"Belgium"
2020-03-08,27,0,"Belgium"
2020-03-09,64,0,"Belgium"
2020-03-10,94,1,"Belgium"
2020-03-11,99,0,"Belgium"
2020-03-12,174,3,"Belgium"
2020-03-13,251,1,"Belgium"
2020-03-14,338,3,"Belgium"
2020-03-15,179,5,"Belgium"
2020-03-16,214,6,"Belgium"
2020-03-17,387,12,"Belgium"
2020-03-18,422,10,"Belgium"
2020-03-19,535,22,"Belgium"
2020-03-20,713,33,"Belgium"
2020-03-21,662,35,"Belgium"
2020-03-22,469,40,"Belgium"
2020-03-23,486,47,"Belgium"
2020-03-24,1328,78,"Belgium"
2020-03-25,1195,77,"Belgium"
2020-03-26,1199,107,"Belgium"
2020-03-27,1363,102,"Belgium"
2020-03-28,1520,128,"Belgium"
2020-03-29,845,141,"Belgium"
2020-03-30,685,149,"Belgium"
2020-03-31,1739,170,"Belgium"
2020-04-01,1683,208,"Belgium"
2020-04-02,1517,233,"Belgium"
2020-04-03,1479,219,"Belgium"
2020-04-04,1694,236,"Belgium"
2020-04-05,923,271,"Belgium"
2020-04-06,667,247,"Belgium"
2020-04-07,1937,257,"Belgium"
2020-04-08,1515,277,"Belgium"
2020-04-09,1599,322,"Belgium"
2020-04-10,2240,272,"Belgium"
2020-04-11,2336,302,"Belgium"
2020-04-12,1032,284,"Belgium"
2020-04-13,524,265,"Belgium"
2020-04-14,538,277,"Belgium"
2020-04-15,1561,261,"Belgium"
2020-04-16,1633,280,"Belgium"
2020-04-17,1675,246,"Belgium"
2020-04-18,1395,205,"Belgium"
2020-04-19,722,208,"Belgium"
2020-04-20,444,190,"Belgium"
2020-04-21,1278,206,"Belgium"
2020-04-22,1270,203,"Belgium"
2020-04-23,778,181,"Belgium"
2020-04-24,976,156,"Belgium"
2020-04-25,811,155,"Belgium"
2020-04-26,388,142,"Belgium"
2020-04-27,205,154,"Belgium"
2020-04-28,755,135,"Belgium"
2020-04-29,569,110,"Belgium"
2020-04-30,522,107,"Belgium"
2020-05-01,586,87,"Belgium"
2020-05-02,237,93,"Belgium"
2020-05-03,286,75,"Belgium"
2020-05-04,140,94,"Belgium"
2020-05-05,670,95,"Belgium"
2020-05-06,547,81,"Belgium"
2020-05-07,552,76,"Belgium"
2020-05-08,442,71,"Belgium"
2020-05-09,483,74,"Belgium"
2020-05-10,240,71,"Belgium"
2020-05-11,118,72,"Belgium"
2020-05-12,476,65,"Belgium"
2020-05-13,395,45,"Belgium"
2020-05-14,321,56,"Belgium"
2020-05-15,305,43,"Belgium"
2020-05-16,347,45,"Belgium"
2020-05-17,147,30,"Belgium"
2020-05-18,81,31,"Belgium"
2020-05-19,317,37,"Belgium"
2020-05-20,292,33,"Belgium"
2020-05-21,385,30,"Belgium"
2020-05-22,70,34,"Belgium"
2020-05-23,248,41,"Belgium"
2020-05-24,123,25,"Belgium"
2020-05-25,75,33,"Belgium"
2020-05-26,314,26,"Belgium"
2020-05-27,202,24,"Belgium"
2020-05-28,182,24,"Belgium"
2020-05-29,171,26,"Belgium"
2020-05-30,165,16,"Belgium"
2020-05-31,61,23,"Belgium"
2020-06-01,49,22,"Belgium"
2020-06-02,59,21,"Belgium"
2020-06-03,183,23,"Belgium"
2020-06-04,159,20,"Belgium"
2020-06-05,172,14,"Belgium"
2020-06-06,154,12,"Belgium"
2020-06-07,69,11,"Belgium"
2020-06-08,53,12,"Belgium"
2020-06-09,153,9,"Belgium"
2020-06-10,145,12,"Belgium"
2020-06-11,119,12,"Belgium"
2020-06-12,95,7,"Belgium"
2020-06-13,89,10,"Belgium"
2020-06-14,49,5,"Belgium"
2020-06-15,22,3,"Belgium"
2020-06-16,147,8,"Belgium"
2020-06-17,99,7,"Belgium"
2020-06-18,123,7,"Belgium"
2020-06-19,108,5,"Belgium"
2020-06-20,121,4,"Belgium"
2020-06-21,50,3,"Belgium"
2020-06-22,20,9,"Belgium"
2020-06-23,143,12,"Belgium"
2020-06-24,110,4,"Belgium"
2020-06-25,100,3,"Belgium"
2020-06-26,76,5,"Belgium"
2020-06-27,113,2,"Belgium"
2020-06-28,41,8,"Belgium"
2020-06-29,24,5,"Belgium"
2020-06-30,127,3,"Belgium"
2020-07-01,100,8,"Belgium"
2020-07-02,135,2,"Belgium"
2020-07-03,93,5,"Belgium"
2020-07-04,94,2,"Belgium"
2020-07-05,64,3,"Belgium"
2020-07-06,24,2,"Belgium"
2020-07-07,112,1,"Belgium"
2020-07-08,99,3,"Belgium"
2020-07-09,137,1,"Belgium"
2020-07-10,124,2,"Belgium"
2020-07-11,127,0,"Belgium"
2020-07-12,62,2,"Belgium"
2020-07-13,43,4,"Belgium"
2020-07-14,224,0,"Belgium"
2020-07-15,207,3,"Belgium"
2020-07-16,260,5,"Belgium"
2020-07-17,226,5,"Belgium"
2020-07-18,274,2,"Belgium"
2020-07-19,130,3,"Belgium"
2020-07-20,64,1,"Belgium"
2020-07-21,443,2,"Belgium"
2020-07-22,145,1,"Belgium"
2020-07-23,553,2,"Belgium"
2020-07-24,439,2,"Belgium"
2020-07-25,496,5,"Belgium"
2020-07-26,229,1,"Belgium"
2020-07-27,184,2,"Belgium"
2020-07-28,595,4,"Belgium"
2020-07-29,685,1,"Belgium"
2020-07-30,703,3,"Belgium"
2020-07-31,635,2,"Belgium"
2020-08-01,684,3,"Belgium"
2020-08-02,309,2,"Belgium"
2020-08-03,148,5,"Belgium"
2020-08-04,794,3,"Belgium"
2020-08-05,814,5,"Belgium"
2020-08-06,776,5,"Belgium"
2020-08-07,769,4,"Belgium"
2020-08-08,771,6,"Belgium"
2020-08-09,304,2,"Belgium"
2020-08-10,122,5,"Belgium"
2020-08-11,873,11,"Belgium"
2020-08-12,718,13,"Belgium"
2020-08-13,609,11,"Belgium"
2020-08-14,669,12,"Belgium"
2020-08-15,587,12,"Belgium"
2020-08-16,163,9,"Belgium"
2020-08-17,132,7,"Belgium"
2020-08-18,707,7,"Belgium"
2020-08-19,725,11,"Belgium"
2020-08-20,612,9,"Belgium"
2020-08-21,581,4,"Belgium"
2020-08-22,510,3,"Belgium"
2020-08-23,203,5,"Belgium"
2020-08-24,115,3,"Belgium"
2020-08-25,607,5,"Belgium"
2020-08-26,527,5,"Belgium"
2020-08-27,526,4,"Belgium"
2020-08-28,535,3,"Belgium"
2020-08-29,614,4,"Belgium"
2020-08-30,195,6,"Belgium"
2020-08-31,117,1,"Belgium"
2020-09-01,634,3,"Belgium"
2020-09-02,565,3,"Belgium"
2020-09-03,574,2,"Belgium"
2020-09-04,677,4,"Belgium"
2020-09-05,728,2,"Belgium"
2020-09-06,322,1,"Belgium"
2020-09-07,155,2,"Belgium"
2020-09-08,918,4,"Belgium"
2020-09-09,871,3,"Belgium"
2020-09-10,1024,2,"Belgium"
2020-09-11,1143,3,"Belgium"
2020-09-12,1284,5,"Belgium"
2020-09-13,617,1,"Belgium"
2020-09-14,301,1,"Belgium"
2020-09-15,1727,4,"Belgium"
2020-09-16,1628,3,"Belgium"
2020-09-17,1942,2,"Belgium"
2020-09-18,1752,1,"Belgium"
2020-09-19,1709,6,"Belgium"
2020-09-20,894,8,"Belgium"
2020-09-21,461,3,"Belgium"
2020-09-22,2204,3,"Belgium"
2020-09-23,2074,1,"Belgium"
2020-09-24,2097,8,"Belgium"
2020-09-25,1796,4,"Belgium"
2020-09-26,1623,5,"Belgium"
2020-09-27,944,6,"Belgium"
2020-09-28,540,12,"Belgium"
2020-09-29,2782,13,"Belgium"
2020-09-30,2984,10,"Belgium"
2020-10-01,3243,6,"Belgium"
2020-10-02,3410,15,"Belgium"
2020-10-03,3721,11,"Belgium"
2020-10-04,1709,15,"Belgium"
2020-10-05,1035,14,"Belgium"
2020-10-06,5249,14,"Belgium"
2020-10-07,5687,18,"Belgium"
2020-10-08,6803,20,"Belgium"
2020-10-09,6588,20,"Belgium"
2020-10-10,7789,19,"Belgium"
2020-10-11,4310,22,"Belgium"
2020-10-12,2403,26,"Belgium"
2020-10-13,9735,36,"Belgium"
2020-10-14,12577,34,"Belgium"
2020-10-15,12293,41,"Belgium"
2020-10-16,11818,35,"Belgium"
2020-10-17,13477,36,"Belgium"
2020-10-18,7995,23,"Belgium"
2020-10-19,4289,31,"Belgium"
2020-10-20,15560,52,"Belgium"
2020-10-21,19265,52,"Belgium"
2020-10-22,17485,62,"Belgium"
2020-10-23,17687,55,"Belgium"
2020-10-24,18876,94,"Belgium"
2020-10-25,11557,93,"Belgium"
2020-10-26,4895,94,"Belgium"
2020-10-27,19868,121,"Belgium"
2020-10-28,22210,132,"Belgium"
2020-10-29,17998,142,"Belgium"
2020-10-30,15090,139,"Belgium"
2020-10-31,15401,185,"Belgium"
2020-11-01,6308,177,"Belgium"
2020-11-02,2666,164,"Belgium"
2020-11-03,13858,208,"Belgium"
2020-11-04,12102,172,"Belgium"
2020-11-05,9230,198,"Belgium"
2020-11-06,7659,206,"Belgium"
2020-11-07,6648,214,"Belgium"
2020-11-08,3046,208,"Belgium"
2020-11-09,1448,210,"Belgium"
2020-11-10,8636,194,"Belgium"
2020-11-11,7701,218,"Belgium"
2020-11-12,2004,196,"Belgium"
2020-11-13,6482,173,"Belgium"
2020-11-14,5709,183,"Belgium"
2020-11-15,2371,175,"Belgium"
2020-11-16,1057,192,"Belgium"
2020-11-17,5821,195,"Belgium"
2020-11-18,4828,153,"Belgium"
2020-11-19,3700,158,"Belgium"
2020-11-20,3019,172,"Belgium"
2020-11-21,3081,165,"Belgium"
2020-11-22,1263,138,"Belgium"
2020-11-23,589,135,"Belgium"
2020-11-24,3953,139,"Belgium"
2020-11-25,2867,120,"Belgium"
2020-11-26,2673,138,"Belgium"
2020-11-27,2413,118,"Belgium"
2020-11-28,2700,124,"Belgium"
2020-11-29,1004,114,"Belgium"
2020-11-30,560,119,"Belgium"
2020-12-01,3293,99,"Belgium"
2020-12-02,2674,110,"Belgium"
2020-12-03,2611,117,"Belgium"
2020-12-04,2364,93,"Belgium"
2020-12-05,2549,106,"Belgium"
2020-12-06,1098,85,"Belgium"
2020-12-07,592,83,"Belgium"
2020-12-08,3353,96,"Belgium"
2020-12-09,2715,91,"Belgium"
2020-12-10,2708,83,"Belgium"
2020-12-11,2604,87,"Belgium"
2020-12-12,2751,92,"Belgium"
2020-12-13,856,48,"Belgium"
2020-12-14,2,6,"Belgium"
2020-03-08,2,0,"Bulgaria"
2020-03-09,2,0,"Bulgaria"
2020-03-12,3,1,"Bulgaria"
2020-03-13,16,0,"Bulgaria"
2020-03-14,8,0,"Bulgaria"
2020-03-15,10,1,"Bulgaria"
2020-03-16,10,0,"Bulgaria"
2020-03-17,11,0,"Bulgaria"
2020-03-18,19,0,"Bulgaria"
2020-03-19,11,0,"Bulgaria"
2020-03-20,13,1,"Bulgaria"
2020-03-21,22,0,"Bulgaria"
2020-03-22,36,0,"Bulgaria"
2020-03-23,22,0,"Bulgaria"
2020-03-24,16,0,"Bulgaria"
2020-03-25,19,0,"Bulgaria"
2020-03-26,22,0,"Bulgaria"
2020-03-27,22,0,"Bulgaria"
2020-03-28,29,0,"Bulgaria"
2020-03-29,38,4,"Bulgaria"
2020-03-30,15,1,"Bulgaria"
2020-03-31,13,0,"Bulgaria"
2020-04-01,40,0,"Bulgaria"
2020-04-02,23,2,"Bulgaria"
2020-04-03,35,0,"Bulgaria"
2020-04-04,28,4,"Bulgaria"
2020-04-05,18,3,"Bulgaria"
2020-04-06,28,3,"Bulgaria"
2020-04-07,18,2,"Bulgaria"
2020-04-08,28,1,"Bulgaria"
2020-04-09,16,1,"Bulgaria"
2020-04-10,31,0,"Bulgaria"
2020-04-11,11,1,"Bulgaria"
2020-04-12,26,3,"Bulgaria"
2020-04-13,14,1,"Bulgaria"
2020-04-14,10,3,"Bulgaria"
2020-04-15,28,3,"Bulgaria"
2020-04-16,34,1,"Bulgaria"
2020-04-17,53,2,"Bulgaria"
2020-04-18,46,3,"Bulgaria"
2020-04-19,32,0,"Bulgaria"
2020-04-20,37,2,"Bulgaria"
2020-04-21,14,0,"Bulgaria"
2020-04-22,46,2,"Bulgaria"
2020-04-23,49,4,"Bulgaria"
2020-04-24,73,3,"Bulgaria"
2020-04-25,91,2,"Bulgaria"
2020-04-26,59,1,"Bulgaria"
2020-04-27,53,1,"Bulgaria"
2020-04-28,63,2,"Bulgaria"
2020-04-29,36,0,"Bulgaria"
2020-04-30,48,6,"Bulgaria"
2020-05-01,59,2,"Bulgaria"
2020-05-02,82,3,"Bulgaria"
2020-05-03,6,3,"Bulgaria"
2020-05-04,24,1,"Bulgaria"
2020-05-05,34,5,"Bulgaria"
2020-05-06,37,0,"Bulgaria"
2020-05-07,89,6,"Bulgaria"
2020-05-08,51,0,"Bulgaria"
2020-05-09,82,4,"Bulgaria"
2020-05-10,44,2,"Bulgaria"
2020-05-11,10,1,"Bulgaria"
2020-05-12,25,2,"Bulgaria"
2020-05-13,33,2,"Bulgaria"
2020-05-14,46,1,"Bulgaria"
2020-05-15,31,3,"Bulgaria"
2020-05-16,38,3,"Bulgaria"
2020-05-17,73,6,"Bulgaria"
2020-05-18,24,2,"Bulgaria"
2020-05-19,24,2,"Bulgaria"
2020-05-20,33,4,"Bulgaria"
2020-05-21,39,4,"Bulgaria"
2020-05-22,41,5,"Bulgaria"
2020-05-23,36,1,"Bulgaria"
2020-05-24,0,0,"Bulgaria"
